state,state_,corrupt,netgi,partycomp,legprofsq,gspwmg,gspwenv,gsppc,dgov80s,gspwmg2,gspwenv2,gspwmg2xcorrupt,gspwenv2xcorrupt,envatt,lntri88
PA,38,.29249999,18,40.189999,.336,.00070411986,.000056179775,22.268557,.40000001,.70411986,.056179777,.20595506,.016432583,2.5,4.9045339
RI,39,.47530001,27,39.490002,.148,.00083333335,.00050925923,21.556887,.75,.83333337,.50925922,.39608335,.24205092,2.6799998,2.0412202
SC,40,.67879999,12,28.32,.178,.00041547278,.000042979944,19.415855,.80000001,.41547278,.042979944,.28202292,.029174786,2.5,4.1896548
SD,41,.1435,4,39.189999,.082999997,.0019205298,.00092715234,21.297602,0,1.9205297,.92715234,.27559602,.13304636,2.4099998,.83290911
TN,42,.62150002,12,26.719999,.13500001,.00052341598,.000045913683,21.688906,.69999999,.52341598,.045913681,.32530305,.028535353,2.47,4.8402424
TX,43,.2798,17,21.959999,.20999999,.00041976493,.00004317582,23.597668,.69999999,.41976494,.04317582,.11745023,.012080594,2.51,5.7639365
UT,44,.2563,10,45.290001,.082000002,.0014044944,.00028089888,19.657648,.2,1.4044944,.28089887,.35997191,.071994379,2.3099999,4.8186674
VA,45,.6473,17,40.709999,.17,.00037711315,.000078023404,24.072624,.47499999,.37711313,.078023404,.24410534,.05050455,2.51,4.7211738
VT,46,.0059000002,26,49.16,.145,.0022033898,.00050847459,20.665499,.94999999,2.2033899,.50847459,.013000001,.0030000003,2.6300001,.53062826
WA,47,.1031,25,53.939999,.23,.00061912223,.000070532915,24.795958,.625,.61912221,.070532918,.063831501,.0072719441,2.54,3.3428619
WI,48,.1381,25,49.130001,.27000001,.00034703195,0,21.913147,.69999999,.34703195,0,.047925111,0,2.47,4.1059437
WV,49,.37650001,7,44.970001,.125,.0019913421,.0005194805,12.783619,.80000001,1.9913421,.51948053,.7497403,.19558442,2.4200001,3.6737659
WY,50,0,11,30.459999,.056000002,.0020454545,.0010606061,28.448277,.5,2.0454545,1.0606061,0,0,2.3899999,2.8154087
